ID	ST	Serovar	GC (%)	Total reads	Passed reads (%)	Low quality reads (%)	too many Ns reads (%)	Too short reads (%)	No. of contigs	Placeholders (N) per 100kbp	N50	Total assembled bases	Point Mutations StarAMR	All AMR ARIBA-NCBI	Sample Accession	Run Accession	Collection Year	Source Niche	Source Type	Source Details	Country	Region	Source Lab
BRCH23-C1H02	Unknown	Heidelberg	52.01	1734186	97.28	2.45	0.19	0.09	99	0	411937	5068213	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927332	ERR8025320	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1H03	319	Tennessee	52.15	1485116	97.15	2.55	0.18	0.12	66	0	469957	4835838	No result	"dfrA25.NG_047721.1, qacEdelta1.NG_048042.1, sul1.NG_048082.1, tet_A_.NG_048159.1"	ERS9927294	ERR8025281	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1H04	65	Brandenburg	52.15	1952202	97.11	2.52	0.19	0.19	82	2.16	473015	4633392	gyrA (D87G)	"floR.NG_047878.1, tet_A_.NG_048153.1"	ERS9927271	ERR8025256	2012	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1H05	548	Minnesota	52.16	1883416	97.12	2.54	0.18	0.15	99	0	134959	4802929	No result	"aph_3___Ia.NG_047430.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927230	ERR8025215	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1H06	Unknown	Give	51.87	1926076	97.1	2.61	0.18	0.11	66	0	438591	4948674	No result	"aadA2.NG_047343.1, aph_3___Ia.NG_047430.1, catA1.NG_047587.1, dfrA12.NG_047689.1, qacEdelta1.NG_048042.1, sul1.NG_048082.1, tet_B_.NG_048173.1"	ERS9927252	ERR8025237	2013	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1H07	14	Senftenberg	52.03	1879686	96.83	2.84	0.18	0.16	105	0	286629	4857901	No result	qnrB19.NG_050479.1	ERS9927237	ERR8025222	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1H08	457	Livingstone	52.21	2257450	97.26	2.47	0.18	0.09	90	2.12	419085	4729755	No result	No result	ERS9927281	ERR8025266	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1H09	152	Kentucky	51.98	3267314	97.17	2.53	0.19	0.11	126	0	279051	4894946	gyrA (D87Y)	qnrB19.NG_050479.1	ERS9927225	ERR8025210	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1H10	Unknown	Heidelberg	52.06	2164242	97.01	2.63	0.18	0.18	88	0	212996	4933609	gyrA (S83F)	"fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927358	ERR8025365	2015	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1H11	15	Heidelberg	51.98	2479432	97.11	2.56	0.18	0.14	96	0	276202	5045832	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927239	ERR8025224	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C1H12	32	Infantis	52.32	2048384	97.16	2.5	0.18	0.15	55	0	396656	4565874	No result	No result	ERS9927298	ERR8025285	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2A01	Unknown	Schwarzengrund	51.79	838930	96.68	3	0.18	0.14	107	0	194050	4963137	No result	"aac_3__IVa.NG_047253.1, aadA1.NG_052486.1, aph_3____Ib.NG_056002.2, aph_3___Ia.NG_047440.1, aph_4__Ia.NG_047456.1, aph_6__Id.NG_047464.1, dfrA1.NG_047678.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, sul1.NG_048082.1, tet_A_.NG_048154.1, tet_B_.NG_048163.1"	ERS9927297	ERR8025284	2017	Poultry	Avian	Broiler chicken faeces	Brazil	District Federal	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2A02	548	Minnesota	52.16	1346274	97.05	2.66	0.18	0.11	78	0	264964	4866070	No result	"aadA1.NG_052536.1, aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927265	ERR8025250	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2A03	Unknown	Worthington	52.23	1901902	97.04	2.66	0.18	0.12	77	0	507252	4780972	No result	No result	ERS9927257	ERR8025242	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2A06	32	Infantis	52.32	1739098	96.93	2.77	0.18	0.12	61	0	396431	4566494	No result	No result	ERS9927209	ERR8025193	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Minas Gerais	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2A07	96	Schwarzengrund	52.08	1566846	97.11	2.58	0.18	0.12	74	0	396844	4739069	No result	"aph_6__Id.NG_047464.1, dfrA14.NG_047696.1, sul2.NG_051852.1"	ERS9927352	ERR8025359	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Bahia	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2A08	548	Minnesota	52.23	1938736	96.93	2.75	0.18	0.13	62	0	270217	4629626	No result	No result	ERS9927244	ERR8025229	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Espirito Santo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2A09	548	Minnesota	52.13	1877780	97.05	2.66	0.19	0.1	73	0	268209	4868568	No result	"aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927215	ERR8025199	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Bahia	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2A10	548	Minnesota	52.21	1707152	96.92	2.8	0.17	0.11	81	0	270788	4786912	No result	"aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927334	ERR8025322	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2A11	45	Newport	51.87	1426006	97.08	2.64	0.18	0.1	256	0	179995	5080495	No result	"aph_3___Ia.NG_047430.1, qnrB19.NG_050479.1"	ERS9927359	ERR8025366	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Espirito Santo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2A12	319	Tennessee	52.17	2402198	96.97	2.71	0.19	0.13	55	0	498132	4758488	No result	No result	ERS9927335	ERR8025323	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2B01	96	Schwarzengrund	51.99	1806882	96.96	2.72	0.19	0.13	69	0	412614	4731041	No result	"aadA1.NG_052486.1, blaCTX_M_2.NG_048968.1, dfrA1.NG_047678.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, tet_B_.NG_048163.1"	ERS9927348	ERR8025337	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2B02	Unknown	Muenchen	52.14	1403360	97.02	2.69	0.19	0.1	76	0	540548	4726295	No result	qnrB19.NG_050479.1	ERS9927266	ERR8025251	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2B03	Unknown	Panama	52.09	1608454	96.85	2.86	0.18	0.11	84	0	362420	4836756	No result	No result	ERS9927351	ERR8025340	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2B05	15	Heidelberg	52.02	1163124	97.1	2.62	0.18	0.1	94	0	229515	5054813	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927224	ERR8025209	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Minas Gerais	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2B06	15	Heidelberg	52.03	1352912	96.99	2.71	0.17	0.12	99	0	248512	4939836	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927282	ERR8025267	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2B07	Unknown	Minnesota	52.21	1753300	96.95	2.73	0.18	0.13	92	0	270549	4882990	No result	"aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927328	ERR8025316	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Tocantins	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2B08	15	Heidelberg	52.01	1927816	96.9	2.77	0.19	0.14	86	0	298391	5034793	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927243	ERR8025228	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2B09	1610	Ouakam	52.18	1519770	97.09	2.62	0.18	0.1	94	0	280218	4919340	No result	No result	ERS9927231	ERR8025216	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Goias	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2B10	15	Heidelberg	52.12	1751098	97.08	2.64	0.18	0.1	82	0	291469	4897504	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927293	ERR8025280	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Minas Gerais	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2B11	15	Heidelberg	51.98	1850888	97.07	2.66	0.17	0.1	83	0	291469	5098222	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927223	ERR8025208	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2B12	1549	Altona	52.26	1975930	97.01	2.7	0.18	0.11	80	0	331580	4657120	No result	No result	ERS9927284	ERR8025269	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Espirito Santo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2C01	22	Braenderup	52.17	1855468	96.82	2.85	0.18	0.14	201	0	457415	4814209	No result	qnrB19.NG_050479.1	ERS9927369	ERR8025376	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2C02	14	Senftenberg	51.93	1594968	97.11	2.6	0.18	0.1	88	0	297813	4805403	No result	qnrB19.NG_050479.1	ERS9927263	ERR8025248	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Espirito Santo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2C05	548	Minnesota	52.07	1242168	97.16	2.55	0.18	0.11	92	0	267081	4909423	No result	"aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927236	ERR8025221	2018	Poultry	Avian	Broiler chicken faeces	Brazil	District Federal	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2C06	592	Worthington	52.22	1298588	97.03	2.66	0.18	0.13	78	0	503240	4784987	No result	qnrB19.NG_050479.1	ERS9927196	ERR8025180	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2C07	2803	Albany	52.09	1470978	97.02	2.66	0.19	0.14	50	0	802030	4847484	No result	No result	ERS9927192	ERR8025176	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Tocantins	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2C08	544	Molade	52.18	1492846	96.87	2.8	0.19	0.14	55	0	507971	4659250	No result	"fosA7.4.NG_067230.1, qnrB19.NG_050479.1"	ERS9927251	ERR8025236	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Para	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2C09	1541	Corvallis	52.05	1753484	97.03	2.68	0.19	0.1	76	0	745919	4768669	No result	qnrB19.NG_050479.1	ERS9927363	ERR8025370	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2C10	1610	Ouakam	52.18	1329682	97.04	2.66	0.19	0.1	106	2.04	256269	4920393	No result	No result	ERS9927256	ERR8025241	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Para	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2C11	1549	Altona	52.27	1685444	97.04	2.68	0.19	0.09	78	0	514815	4768379	No result	"aac_3__VIa.NG_052583.3, aadA1.NG_052477.1, qacEdelta1.NG_048042.1, sul1.NG_048082.1"	ERS9927258	ERR8025243	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Espirito Santo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2C12	185	Senftenberg	51.78	1890844	96.9	2.79	0.18	0.13	82	0	267356	5138086	No result	"aph_3____Ib.NG_056002.2, aph_6__Id.NG_047464.1, blaLAP_2.NG_049264.1, qnrS1.NG_050543.1, tet_B_.NG_048163.1"	ERS9927330	ERR8025318	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2D01	14	Senftenberg	52.03	1727684	96.66	3.01	0.18	0.14	112	0	286629	4875306	No result	qnrB19.NG_050479.1	ERS9927198	ERR8025182	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Parana	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2D04	14	Senftenberg	51.92	965292	96.69	3.01	0.17	0.12	97	0	292488	4839106	No result	qnrB19.NG_050479.1	ERS9927248	ERR8025233	2018	Poultry	Avian	Broiler chicken faeces	Brazil	District Federal	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2D06	22	Braenderup	52.17	1407374	100	0	0	0	212	0	283256	4806879	No result	qnrB19.NG_050479.1	ERS9927285	ERR8025270	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Tocantins	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2D07	Unknown	Schwarzengrund	52.19	1454624	100	0	0	0	56	0	470393	4638917	No result	qnrB19.NG_050479.1	ERS9927202	ERR8025186	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Goias	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2D08	413	Mbandaka	51.85	1383230	100	0	0	0	143	0	235349	5004128	No result	"aac_3__IVa.NG_047253.1, aadA1.NG_052486.1, aph_3____Ib.NG_056002.2, aph_3___Ia.NG_047440.1, aph_4__Ia.NG_047456.1, aph_6__Id.NG_047464.1, dfrA1.NG_047678.1, fosA3.NG_050407.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, sul1.NG_048082.1, tet_A_.NG_048154.1, tet_B_.NG_048163.1"	ERS9927339	ERR8025327	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Para	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2D09	548	Minnesota	52.2	1507012	100	0	0	0	88	0	268209	4849220	No result	"aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927313	ERR8025301	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Para	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2D10	329	Ohio	52.07	1575734	100	0	0	0	77	0	319703	4812059	No result	qnrB19.NG_050479.1	ERS9927346	ERR8025336	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Bahia	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2D11	Unknown	Minnesota	52.13	1560872	100	0	0	0	110	0	225271	4873292	No result	"blaCMY_2.NG_048814.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927362	ERR8025369	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Goias	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2D12	548	Minnesota	52.09	1385614	100	0	0	0	117	0	134454	4930585	No result	"aph_3___Ia.NG_047430.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927318	ERR8025306	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2E01	185	Senftenberg	52	1491456	100	0	0	0	81	0	355204	4858106	No result	No result	ERS9927296	ERR8025283	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2E02	14	Senftenberg	51.93	1786130	100	0	0	0	87	0	351719	4807567	No result	qnrB19.NG_050479.1	ERS9927367	ERR8025374	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Espirito Santo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2E03	Unknown	Minnesota	52.15	1280500	100	0	0	0	83	0	267036	4910562	No result	"aadA1.NG_052536.1, aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927301	ERR8025288	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Goias	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2E06	Unknown	Braenderup	52.1	1530488	100	0	0	0	332	0	232734	4867096	No result	qnrB19.NG_050479.1	ERS9927268	ERR8025253	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Tocantins	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2E08	Unknown	Schwarzengrund	51.88	1373970	100	0	0	0	74	0	396736	4835634	No result	"aph_3____Ib.NG_047415.1, aph_3___Ia.NG_047430.1, aph_6__Id.NG_047464.1, blaTEM_1.NG_050145.1, dfrA7.NG_047737.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, sul1.NG_048082.1, sul2.NG_048118.1, tet_A_.NG_048154.1"	ERS9927350	ERR8025339	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Para	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2E09	Unknown	Minnesota	52.19	1756968	100	0	0	0	77	0	250074	4846378	No result	"blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927240	ERR8025225	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2E10	96	Schwarzengrund	52.09	1471628	100	0	0	0	75	0	450988	4643119	No result	"aph_6__Id.NG_047464.1, dfrA14.NG_047696.1, qnrB19.NG_050479.1, sul2.NG_051852.1"	ERS9927289	ERR8025275	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Para	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2E11	548	Minnesota	52.16	1799750	100	0	0	0	74	0	264793	4864047	No result	"aadA1.NG_052536.1, aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927337	ERR8025325	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2E12	96	Schwarzengrund	51.81	1924748	100	0	0	0	73	0	396943	4876032	No result	"aac_3__IVa.NG_047253.1, aadA1.NG_052486.1, aph_3____Ib.NG_056002.2, aph_4__Ia.NG_047456.1, aph_6__Id.NG_047464.1, blaCTX_M_2.NG_048968.1, dfrA1.NG_047678.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, sul1.NG_048082.1, tet_A_.NG_048154.1, tet_B_.NG_048163.1"	ERS9927220	ERR8025205	2017	Poultry	Avian	Broiler chicken faeces	Brazil	District Federal	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2F01	Unknown	Ouakam	52.13	1513214	100	0	0	0	78	2.06	297885	4865470	No result	No result	ERS9927189	ERR8025173	2016	Poultry	Avian	Broiler chicken faeces	Brazil	Santa Catarina	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2F02	14	Senftenberg	51.93	1854782	100	0	0	0	99	0	351626	4817129	No result	qnrB19.NG_050479.1	ERS9927229	ERR8025214	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Espirito Santo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2F03	548	Minnesota	52.23	1503374	100	0	0	0	73	0	270667	4805294	No result	"blaCMY_2.NG_048814.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927218	ERR8025203	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2F04	96	Schwarzengrund	51.82	1311040	100	0	0	0	77	0	412615	4881611	No result	"aac_3__IVa.NG_047253.1, aadA1.NG_052486.1, aph_3____Ib.NG_056002.2, aph_3___Ia.NG_047440.1, aph_4__Ia.NG_047456.1, aph_6__Id.NG_047464.1, dfrA1.NG_047678.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, sul1.NG_048082.1, tet_A_.NG_048154.1, tet_B_.NG_048163.1"	ERS9927273	ERR8025258	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Goias	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2F05	548	Minnesota	52.15	929072	100	0	0	0	89	0	263793	4848697	gyrA (S83Y)	"aadA1.NG_052536.1, aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927205	ERR8025189	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Goias	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2F06	279	"I 4,[5],12:d:-"	51.99	970820	100	0	0	0	79	2.08	414328	4811161	No result	No result	ERS9927219	ERR8025204	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Tocantins	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2F07	2519	Glostrup	52.08	1472172	100	0	0	0	258	0	261105	5215452	No result	No result	ERS9927259	ERR8025244	2017	Poultry	Avian	Broiler chicken faeces	Brazil	District Federal	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2F08	548	Minnesota	52.1	1657156	100	0	0	0	124	0	134679	4924616	No result	"aph_3___Ia.NG_047430.1, blaCTX_M_8.NG_049032.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927227	ERR8025212	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2F09	241	Bredeney	52.01	1475312	100	0	0	0	63	0	467302	4675730	No result	No result	ERS9927357	ERR8025364	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Espirito Santo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2F10	548	Minnesota	52.16	1243266	100	0	0	0	132	0	112487	4784951	No result	"qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927274	ERR8025259	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2F11	413	Mbandaka	52.05	1625482	100	0	0	0	102	0	227302	4889609	No result	"aac_3__VIa.NG_052583.3, aadA1.NG_052477.1, qacEdelta1.NG_048042.1, sul1.NG_048082.1"	ERS9927344	ERR8025334	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Minas Gerais	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2F12	64	Anatum	52.12	1434328	100	0	0	0	88	0	390734	4852492	No result	"blaCTX_M_8.NG_049032.1, qnrB19.NG_050479.1"	ERS9927327	ERR8025315	2017	Poultry	Avian	Broiler chicken faeces	Brazil	District Federal	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2G01	22	Braenderup	52.25	1651010	100	0	0	0	52	0	496485	4709485	No result	No result	ERS9927368	ERR8025375	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso do Sul	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2G02	548	Minnesota	52.16	1462346	100	0	0	0	85	0	225210	4876529	No result	"aadA1.NG_052536.1, aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927300	ERR8025287	2018	Poultry	Avian	Broiler chicken faeces	Brazil	District Federal	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2G04	Unknown	Minnesota	52.18	1413008	100	0	0	0	85	0	259631	4823187	No result	"aadA1.NG_052536.1, aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927194	ERR8025178	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2G05	96	Schwarzengrund	51.81	757586	100	0	0	0	84	0	242374	4880416	No result	"aac_3__IVa.NG_047253.1, aadA1.NG_052486.1, aph_3____Ib.NG_056002.2, aph_3___Ia.NG_047440.1, aph_4__Ia.NG_047456.1, aph_6__Id.NG_047464.1, blaCTX_M_2.NG_048968.1, dfrA1.NG_047678.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, sul1.NG_048082.1, tet_A_.NG_048154.1, tet_B_.NG_048163.1"	ERS9927349	ERR8025338	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2G06	548	Minnesota	52.15	1133796	100	0	0	0	83	0	255488	4907372	No result	"aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927312	ERR8025300	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso	University of Sao Paulo / Quadram Institute Bioscience
